ReportID,Timestamp,ScreenLoadTime,DbQueryTime,MemoryUsage,GcEvents,ExceptionsLogged
99,2025-04-05T18:09:44.475145500,0,0,403,79,
100,2025-04-05T18:09:46.945823100,62,62,325,81,
101,2025-04-05T18:09:48.629236900,0,0,456,82,
102,2025-04-05T18:09:50.464531600,60,60,333,84,
103,2025-04-05T18:09:51.886846500,0,0,439,85,
104,2025-04-05T18:09:53.050627800,0,0,447,85,
105,2025-04-05T18:09:56.035370600,0,0,470,85,
106,2025-04-05T18:10:00.321537300,69,69,313,87,
107,2025-04-05T18:10:01.144176800,3,3,438,87,
108,2025-04-05T18:16:38.627303500,162,162,144,8,
109,2025-04-05T18:16:40.818804900,11,11,183,16,
110,2025-04-05T18:17:07.548652200,117,117,237,22,
111,2025-04-05T18:17:16.771371900,4,4,214,28,
112,2025-04-05T18:17:18.583899500,88,88,270,34,
113,2025-04-05T18:17:19.487397300,0,0,176,45,
114,2025-04-05T18:17:21.242766300,0,0,208,45,
115,2025-04-05T18:17:26.892220500,70,70,280,45,
116,2025-04-05T18:17:27.703219400,0,0,388,45,
117,2025-04-05T18:17:31.528574200,0,0,2022,51,
118,2025-04-05T18:17:35.983873700,0,0,2006,52,
119,2025-04-05T18:17:40.557429900,108,108,1919,54,
120,2025-04-05T18:17:44.239041700,0,0,2143,54,
121,2025-04-05T18:17:47.602417700,0,0,3790,57,
122,2025-04-05T18:20:21.378210700,59,59,496,88,
123,2025-04-05T18:20:22.839264400,0,0,421,90,
124,2025-04-05T18:20:24.094239300,59,59,495,90,
125,2025-04-05T18:21:37.716704300,94,94,236,9,
126,2025-04-05T18:21:43.415230400,0,0,289,21,
127,2025-04-05T18:21:45.386897400,109,109,246,26,
128,2025-04-05T18:21:58.316160600,0,0,236,36,
129,2025-04-05T18:22:25.250296100,77,77,124,37,
130,2025-04-05T18:22:30.330091900,0,0,246,37,
131,2025-04-05T18:22:52.033715800,0,0,2018,54,
132,2025-04-05T18:29:11.367449100,76,76,2053,57,
133,2025-04-06T10:24:10.120329600,246,246,146,9,
134,2025-04-06T10:24:36.176127500,0,0,213,10,
135,2025-04-06T10:24:37.377127900,0,0,205,11,
136,2025-04-06T10:29:22.173935,125,125,103,17,
137,2025-04-06T10:29:58.715021800,0,0,202,28,
138,2025-04-06T10:30:15.395619900,151,151,150,5,
139,2025-04-06T10:30:17.160120600,0,0,174,8,
140,2025-04-06T10:30:18.643948,0,0,203,9,
141,2025-04-06T10:31:09.893651100,128,128,151,6,
142,2025-04-06T10:31:12.219044400,0,0,184,13,
143,2025-04-06T10:31:13.238225200,0,0,205,15,
144,2025-04-06T10:31:23.179039200,136,136,267,20,
145,2025-04-06T10:31:24.239536800,0,0,225,23,
146,2025-04-06T10:31:28.636873500,2,2,2007,41,
147,2025-04-06T10:54:29.908641500,163,163,147,9,
148,2025-04-06T10:54:32.141774400,0,0,199,12,
149,2025-04-06T10:55:10.578950,145,145,148,6,
150,2025-04-06T10:55:12.423451300,0,0,159,9,
151,2025-04-06T10:55:45.127674300,165,164,148,8,
152,2025-04-06T10:55:46.714175600,0,0,133,13,
153,2025-04-06T10:55:47.826175400,0,0,200,22,
154,2025-04-06T10:55:53.194131,0,0,1855,50,
155,2025-04-06T10:55:55.188559600,0,0,1873,52,
156,2025-04-06T10:56:02.124900100,0,0,1899,56,
157,2025-04-06T10:56:03.375295800,105,105,1939,61,
158,2025-04-06T10:56:52.197717200,152,151,148,6,
159,2025-04-06T10:56:54.355215800,0,0,182,15,
160,2025-04-06T10:56:55.450862600,0,0,204,16,
161,2025-04-06T10:56:57.454212300,0,0,229,17,
162,2025-04-06T10:56:59.254511400,93,93,277,24,
163,2025-04-06T10:57:00.191512400,0,0,340,25,
164,2025-04-06T10:57:04.331498400,0,0,373,28,
165,2025-04-06T10:57:08.689304200,0,0,1860,53,
166,2025-04-06T10:57:10.212937500,0,0,1877,55,
167,2025-04-06T11:00:13.558894500,101,101,1934,60,
168,2025-04-06T11:00:16.803783800,0,0,2051,70,
169,2025-04-06T11:00:24.125000100,92,92,2126,70,
170,2025-04-06T11:00:27.300420,0,0,2259,70,
171,2025-04-06T11:00:28.473588400,0,0,2286,70,
172,2025-04-06T11:01:10.293566600,83,83,2369,70,
173,2025-04-06T11:01:13.859916400,0,0,2545,70,
174,2025-04-06T11:04:42.933016100,81,81,2629,70,
175,2025-04-06T11:04:43.987017100,0,0,2770,70,
176,2025-04-06T11:04:45.117985400,0,0,2799,70,
177,2025-04-06T11:08:47.674327700,192,192,146,10,
178,2025-04-06T11:08:49.265328500,0,0,234,11,
179,2025-04-06T11:08:50.833279,0,0,208,14,
180,2025-04-06T11:09:40.468613500,0,0,74,17,
181,2025-04-06T11:10:22.918039100,140,140,130,24,
182,2025-04-06T11:10:25.286656200,0,0,224,29,
183,2025-04-06T11:13:31.861798500,0,0,250,30,
184,2025-04-06T11:13:40.044681700,90,90,324,30,
185,2025-04-06T11:13:42.683795900,0,0,234,35,
186,2025-04-06T11:14:52.679950300,177,177,147,9,
187,2025-04-06T11:14:55.546366,0,0,211,23,
188,2025-04-06T11:15:38.860815400,164,164,149,8,
189,2025-04-06T11:15:42.513845,0,0,212,16,
190,2025-04-06T11:16:41.799523600,143,143,151,5,
191,2025-04-06T11:16:44.936677100,0,0,215,9,
192,2025-04-06T11:16:47.888350500,107,106,123,12,
193,2025-04-06T11:16:48.687852,0,0,208,14,
194,2025-04-06T11:16:50.319784400,101,101,120,17,
195,2025-04-06T11:16:52.467055700,0,0,238,20,
196,2025-04-06T11:28:39.833425800,170,169,148,9,
197,2025-04-06T11:30:25.174683700,159,159,149,8,
198,2025-04-06T11:31:56.723112500,134,134,151,5,
199,2025-04-06T11:33:12.575487500,167,167,148,8,
200,2025-04-06T11:33:16.178734600,0,0,190,21,
201,2025-04-06T11:34:45.812838600,144,144,147,9,
202,2025-04-06T11:34:48.832923900,0,0,211,28,
203,2025-04-06T11:35:27.621339200,142,142,147,8,
204,2025-04-06T11:36:44.967087800,135,135,150,5,
205,2025-04-06T11:37:41.317871800,165,165,147,8,
206,2025-04-06T11:39:38.919939800,160,159,148,8,
207,2025-04-06T11:41:14.969230500,175,174,147,10,
208,2025-04-06T11:43:04.234153400,163,163,148,9,
209,2025-04-06T11:44:47.813257400,154,154,146,10,
210,2025-04-06T11:53:31.614573700,174,174,147,9,
211,2025-04-06T11:54:16.912725100,222,222,145,9,
212,2025-04-06T11:54:18.889725800,0,0,172,17,
213,2025-04-06T11:57:45.109840500,157,157,148,8,
214,2025-04-06T11:59:06.010526500,0,0,191,13,
215,2025-04-06T12:00:34.669827300,0,0,1989,39,
216,2025-04-06T12:03:26.917257200,107,107,1877,45,
217,2025-04-06T12:03:27.979257800,0,0,1997,58,
218,2025-04-06T12:04:19.348511400,0,0,244,62,
219,2025-04-06T12:05:12.133656200,86,86,359,62,
220,2025-04-06T12:06:22.074485800,8,8,555,62,
221,2025-04-06T12:08:01.097483800,79,79,632,62,
222,2025-04-06T12:11:06.503338300,80,80,663,65,
223,2025-04-06T12:11:07.193836400,0,0,509,66,
224,2025-04-06T12:12:04.565294600,130,129,151,5,
225,2025-04-06T12:12:05.984295300,0,0,174,8,
226,2025-04-06T12:16:32.218666200,76,76,310,68,
227,2025-04-06T12:18:08.423011200,151,150,152,5,
228,2025-04-06T12:18:09.881009500,0,0,226,6,
229,2025-04-06T12:26:15.451036700,155,154,149,8,
230,2025-04-06T12:26:17.477039500,0,0,218,15,
231,2025-04-06T12:26:26.199545100,113,113,270,21,
232,2025-04-06T12:26:26.764041700,0,0,377,21,
233,2025-04-06T12:39:25.694972200,147,147,149,5,
234,2025-04-06T12:39:27.399973200,0,0,182,12,
235,2025-04-06T12:40:22.141765400,199,199,149,8,
236,2025-04-06T12:42:09.379553200,149,148,152,5,
237,2025-04-06T12:43:36.862283400,0,0,211,17,
238,2025-04-06T12:43:51.751732500,169,169,147,8,
239,2025-04-06T12:43:53.109232600,0,0,146,15,
240,2025-04-06T12:45:59.524352400,142,141,146,8,
241,2025-04-06T12:46:03.026406600,0,0,212,26,
242,2025-04-06T12:47:20.619442900,183,183,146,8,
243,2025-04-06T12:47:21.911944,0,0,145,14,
244,2025-04-06T12:49:02.038661600,147,147,148,8,
245,2025-04-06T12:49:04.135162100,0,0,201,19,
246,2025-04-06T12:50:19.846420100,156,156,147,10,
247,2025-04-06T12:50:22.706535200,0,0,211,25,
248,2025-04-06T12:51:02.719564600,190,190,149,9,
249,2025-04-06T12:51:04.091562600,0,0,149,12,
250,2025-04-06T12:53:25.526834900,155,154,146,8,
251,2025-04-06T12:53:29.318828,0,0,236,11,
252,2025-04-06T12:53:49.903200700,118,118,113,17,
253,2025-04-06T12:53:56.555095800,0,0,223,20,
254,2025-04-06T12:54:54.562937600,0,0,117,23,
255,2025-04-06T12:55:02.471881800,0,0,181,23,
256,2025-04-06T13:02:59.564214300,156,156,147,9,
257,2025-04-06T13:09:40.237222,156,156,147,8,
258,2025-04-06T13:10:24.999498200,160,159,153,6,
259,2025-04-06T13:11:08.243516200,171,171,145,9,
260,2025-04-06T13:14:04.522756200,190,190,147,10,
261,2025-04-06T13:15:01.858103300,167,167,146,8,
262,2025-04-06T13:16:12.780921,186,186,147,9,
263,2025-04-06T13:16:47.209736900,0,0,236,25,
264,2025-04-06T13:16:53.677029500,112,112,113,30,
265,2025-04-06T13:16:54.999531400,0,0,246,31,
266,2025-04-06T13:27:37.728585200,179,178,147,8,
267,2025-04-06T13:28:15.738159700,0,0,242,27,
268,2025-04-06T13:28:19.794957100,0,0,140,30,
269,2025-04-06T13:29:03.620627600,110,110,182,31,
270,2025-04-06T13:29:07.282776,0,0,278,34,
271,2025-04-06T13:29:11.201942300,0,0,347,34,
272,2025-04-06T13:30:27.212721100,220,220,146,9,
273,2025-04-06T13:30:30.869258400,117,117,278,29,
274,2025-04-06T13:30:32.263260800,0,0,412,31,
275,2025-04-06T13:30:39.409302100,87,87,351,32,
276,2025-04-06T13:30:41.464864900,0,0,415,35,
277,2025-04-06T13:30:44.765088,83,83,364,36,
278,2025-04-06T13:30:55.901368200,0,0,309,39,
279,2025-04-06T13:30:57.640815200,93,93,418,39,
280,2025-04-06T13:37:03.834809800,149,149,152,5,
281,2025-04-06T13:37:05.392812,2,2,246,7,
282,2025-04-06T13:37:12.393630500,128,128,276,18,
283,2025-04-06T13:37:50.245158700,0,0,397,20,
284,2025-04-06T13:37:51.322236200,0,0,409,22,
285,2025-04-06T13:38:02.213870500,0,0,1891,34,
286,2025-04-06T13:38:21.133775200,117,117,2051,34,
287,2025-04-06T13:38:24.353530300,0,0,2225,34,
288,2025-04-06T13:53:22.362586100,168,168,146,7,
289,2025-04-06T13:53:23.683585700,0,0,127,10,
290,2025-04-06T13:53:27.074925900,111,111,282,26,
291,2025-04-06T13:53:28.181430600,0,0,370,26,
292,2025-04-06T13:53:31.743428500,0,0,2042,43,
293,2025-04-06T13:54:43.729759500,0,0,2041,44,
294,2025-04-06T14:06:38.508750400,211,211,144,10,
295,2025-04-06T14:06:40.575250700,0,0,166,18,
296,2025-04-06T14:06:43.560297300,114,114,284,31,
297,2025-04-06T14:06:44.581300700,0,0,357,39,
298,2025-04-06T14:06:48.276065100,0,0,2002,53,
299,2025-04-06T14:07:31.053145800,0,0,2032,57,
300,2025-04-06T14:07:35.237632800,0,0,3692,60,
301,2025-04-06T14:08:18.308334900,0,0,3742,60,
302,2025-04-06T14:08:30.229190700,0,0,3659,79,
303,2025-04-06T14:08:48.581334700,178,178,149,8,
304,2025-04-06T14:08:53.217419600,0,0,220,13,
305,2025-04-06T14:09:43.275608700,154,154,147,8,
