ReportID,Timestamp,TotalEntries,MissingDataEntries,DuplicationCount,FkIntegrity
55,2025-04-06 18:37:32,82,0,2,false
54,2025-04-06 18:36:34,82,0,2,false
53,2025-04-06 18:35:17,82,0,2,false
52,2025-04-06 18:34:36,82,0,2,false
51,2025-04-06 18:32:59,82,0,2,false
50,2025-04-06 18:31:48,82,0,2,false
49,2025-04-06 18:30:16,82,0,2,false
48,2025-04-06 18:28:27,82,0,2,false
47,2025-04-06 18:16:33,82,0,2,false
46,2025-04-06 18:15:30,82,0,2,false
45,2025-04-06 18:14:41,82,0,2,false
44,2025-04-06 18:08:39,81,0,2,false
43,2025-04-06 17:56:43,79,0,2,false
42,2025-04-06 17:55:36,79,0,2,false
41,2025-04-06 17:55:02,79,0,2,false
40,2025-04-06 17:54:20,79,0,2,false
39,2025-04-06 17:30:59,79,0,2,false
38,2025-04-06 17:30:07,79,0,2,false
37,2025-04-06 17:23:39,79,0,2,false
36,2025-04-06 01:21:21,69,0,1,false
35,2025-04-06 01:16:27,69,0,1,false
34,2025-04-06 00:45:16,69,0,1,false
33,2025-04-06 00:38:56,69,0,1,false
32,2025-04-06 00:37:22,69,0,1,false
31,2025-04-06 00:35:11,69,0,1,false
30,2025-04-06 00:13:48,69,0,1,false
29,2025-04-06 00:02:53,69,0,1,false
28,2025-04-06 00:02:15,69,0,1,false
27,2025-04-05 23:58:47,69,0,1,false
26,2025-04-05 23:56:42,69,0,1,false
25,2025-04-05 23:55:22,69,0,1,false
24,2025-04-05 23:51:13,69,0,1,false
23,2025-04-05 23:50:28,69,0,1,false
22,2025-04-05 23:46:41,69,0,1,false
21,2025-04-05 23:43:45,69,0,1,false
20,2025-04-05 23:42:27,69,0,1,false
19,2025-04-05 23:38:16,69,0,1,false
18,2025-04-05 23:37:20,69,0,1,false
17,2025-04-05 23:27:58,65,0,1,false
16,2025-04-05 23:18:08,65,0,1,false
15,2025-04-05 23:15:48,65,0,1,false
14,2025-04-05 23:11:07,65,0,1,false
13,2025-04-05 23:09:49,65,0,1,false
12,2025-04-05 21:59:18,65,0,1,false
11,2025-04-05 21:57:19,65,0,1,false
10,2025-04-05 21:56:34,65,0,1,false
9,2025-04-05 21:54:51,65,0,1,false
8,2025-04-05 21:54:11,65,0,1,false
7,2025-04-05 21:52:39,65,0,1,false
6,2025-04-05 21:51:40,65,0,1,false
5,2025-04-05 21:49:11,65,0,1,false
4,2025-04-05 21:48:11,65,0,1,false
3,2025-04-05 21:44:31,65,0,1,false
2,2025-04-05 19:32:46,65,0,1,false
1,2025-04-05 19:20:50,65,0,1,false
